NUMERO;NOME;BRINCOELETRONICO;SEXO;DTNASCIMENTO;CDCATEGORIAINICIAL;ORIGEM;NOME_1;RACA1;PERCENTUAL1;
DELTA;Delta;;M;21/02/2010;1;nascido;Reprodutor;Holandês;100;
DENARIO;Denario;;M;09/04/2010;1;nascido;Reprodutor;Holandês;100;
DENGO;Dengo;;M;30/04/2010;1;nascido;Reprodutor;Holandês;100;
DESEJO;Desejo;;M;14/06/2010;1;nascido;Reprodutor;Holandês;100;
088;Deserto;;M;15/07/2010;1;nascido;Em crescimento;Holandês;100;
CANECO;Caneco;;M;25/07/2009;2;nascido;Reprodutor;Holandês;100;
089;Destom;;M;28/07/2010;1;nascido;Em crescimento;Holandês;100;
585;Enclise;;F;21/03/2011;6;nascido;Vaca;Holandês;100;
DARDO;Dardo;;M;25/02/2010;1;nascido;Em crescimento;Holandês;100;
560;Drena;;F;16/11/2010;6;nascido;Vaca;Holandês;100;
567;Ebiana;;F;02/01/2011;5;nascido;Vaca;Holandês;100;
JACK;;;;;;nascido;;Holandês;100;
559;Drama;;F;30/10/2010;5;nascido;Vaca;Holandês;100;
561;Driada;;F;20/11/2010;5;nascido;Vaca;Holandês;100;
568;Eficaz;;F;04/01/2011;5;nascido;Em crescimento;Holandês;100;
570;Eira;;F;09/01/2011;5;nascido;Em crescimento;Holandês;100;
571;Eleita;;F;12/01/2011;6;nascido;Vaca;Holandês;100;
572;Eletriz;;F;12/01/2011;6;nascido;Vaca;Holandês;100;
573;Elipse;;F;14/01/2011;6;nascido;Vaca;Holandês;100;
574;Elfa;;F;14/01/2011;5;nascido;Em crescimento;Holandês;100;
575;Elite;;F;15/01/2011;6;nascido;Vaca;Holandês;100;
576;Ema;;F;16/01/2011;5;nascido;Em crescimento;Holandês;100;
578;Embira;;F;26/01/2011;6;nascido;Vaca;Holandês;100;
579;Emenda;;F;27/01/2011;5;nascido;Vaca;Holandês;100;
580;Emetina;;F;02/02/2011;5;nascido;Em crescimento;Holandês;100;
581;Empada;;F;08/02/2011;5;nascido;Em crescimento;Holandês;100;
EBANO;Ebano;;M;14/02/2011;1;nascido;Em crescimento;Holandês;100;
583;Encava;;F;26/02/2011;6;nascido;Vaca;Holandês;100;
EBRIO;Ebrio;;M;14/02/2011;1;nascido;Reprodutor;Holandês;100;
582;Enase;;F;16/02/2011;5;nascido;Em crescimento;Holandês;100;
586;Encruza;;F;22/03/2011;6;nascido;Vaca;Holandês;100;
LAKOTA;Lakota;;;;;nascido;;Holandês;100;
ALTA TABOO;Alta Taboo;;M;10/02/2006;2;nascido;Reprodutor;Holandês;100;
584;Enchova;;F;15/03/2011;6;nascido;Vaca;Holandês;100;
588;Enfesta;;F;05/04/2011;5;nascido;Em crescimento;Holandês;100;
589;Enga;;F;07/04/2011;5;nascido;Vaca;Holandês;100;
590;Engala;;F;07/04/2011;6;nascido;Vaca;Holandês;100;
591;Engenha;;F;10/04/2011;6;nascido;Vaca;Holandês;100;
592;Engraça;;F;14/04/2011;6;nascido;Vaca;Holandês;100;
593;Encosta;;F;19/04/2011;6;nascido;Vaca;Holandês;100;
LAVANG S;Lavanguard;;;;;nascido;;Holandês;100;
600;Era;;F;02/06/2011;5;nascido;Vaca;Holandês;100;
DORION;Dorion;;;;;nascido;;Holandês;100;
ARBOR;Arbor;;;;;nascido;;Holandês;100;
601;Ermida;;F;02/06/2011;5;nascido;Em crescimento;Holandês;100;
594;Enseada;;F;04/05/2011;5;nascido;Vaca;Holandês;100;
603;Ervilha;;F;05/06/2011;5;nascido;Vaca;Holandês;100;
595;Entrada;;F;16/05/2011;5;nascido;Em crescimento;Holandês;100;
596;Entrega;;F;17/05/2011;5;nascido;Vaca;Holandês;100;
